,author,statement,source,target
916,Victoria Knight,“Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.”,Steve Scalise,barely-true
917,Tom Kertscher,“Doctor proves masks don’t work” by vaping through them.,Facebook posts,false
918,Madison Czopek,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",Bloggers,false
919,Paul Specht,Says North Carolina bill to require in-person learning is “stripping out some of the health protocols that are in place.”,Roy Cooper,half-true
920,Clara Hendrickson,“Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.”,The Gateway Pundit,false
921,Tom Kertscher,Seniors around the world who died from COVID vaccine are being improperly listed as “natural causes.”,Facebook posts,false
922,Jon Greenberg,"Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",DCCC,barely-true
923,Jon Greenberg,"States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",Rick Scott,barely-true
924,Tom Kertscher,"“A Miracle! Only 23 Americans Tested Positive for Flu Last Week Compared to 14,657 Cases Reported Last Year at Same Time.”",Facebook posts,half-true
925,Brandon Mulder,Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”,John Kerry,false
926,Louis Jacobson,"Under the 2017 tax law, “people who make under $75,000 will have their taxes raised in 2021 and every 2 years after that until 2027.”",Facebook posts,barely-true
927,John Pullano,"""The (Erie Co., N.Y.) health commissioner makes more than the governor, the vice president of the United States, and has a salary that is comparable to Dr. Anthony Fauci.”",Stefan Mychajliw,mostly-true
928,Warren Fiske,On accepting corporate PAC donations,Elaine Luria,full-flop
929,Seth Taylor,"The school voucher bill the Iowa Legislature is considering would ""give your education tax dollars to corporations.""",Christina Blackcloud,mostly-true
930,Ciara O'Rourke,"“Trump assassination foiled, Deep State in panic mode!”",Bloggers,false
931,Daniel Funke,Photo shows Democratic protesters who “stormed the U.S. Capitol in 2018.”,Facebook posts,false
932,Ciara O'Rourke,"Says Denzel Washington said, “I support police over BLM, don’t put them down!”",Bloggers,barely-true
933,Noah Y.,“I don’t even know what (QAnon) is.”,Kevin McCarthy,false
934,Samantha Putterman,Says Joe Biden “has officially lowered the age of consent to 5 years old.”,Instagram posts,pants-fire
935,Daniel Funke,"Joe Biden ""really did wipe away"" student loan debt.",Facebook posts,false
936,Eric Litke,Gov. Tony Evers “has the authority and revenue necessary” to upgrade the Wisconsin unemployment system without the Legislature.,Jim Steineke,barely-true
937,Ciara O'Rourke,The White House was dark for 10 nights in a row.,Viral image,false
938,Ciara O'Rourke,“US Capitol raided 2/2/21.”,YouTube videos,false
939,Miriam Valverde,"""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",Tom Cotton,false
940,Monique Curet,Says Joe Biden has “allowed males to compete in girls’ sports.”,Facebook posts,false
941,Ciara O'Rourke,Photo shows Rachel Levine’s family.,Viral image,pants-fire
942,Ciara O'Rourke,“Myanmar used Dominion Voting Systems.”,Facebook posts,false
943,Noah Y.,“Donald Trump is the first president in modern history (who) did not start a new war.”,Donald Trump Jr.,barely-true
944,Chris Nichols,Facebook tried to “shut down” the campaign to recall California Gov. Gavin Newsom.,Bloggers,false
945,Tom Kertscher,Says Nancy Pelosi bought $1.25 million in Tesla stock the day before Joe Biden signed an order “for all federal vehicles” to be electric.,Facebook posts,barely-true
946,Ciara O'Rourke,"H&M advertised a sweatshirt that said, “Koolest Kid in the Klan.”",Viral image,false
947,Madison Black,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",Chuck Grassley,true
948,Laura Schulte,"""The Legislature spent the last decade passing laws deliberately making it even harder for people to access these critical supports when they need it most, exacerbating the problems with our already-outdated system.”",Tony Evers,half-true
949,Paul Specht,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",Jenna Wadsworth,true
950,Noah Y.,“The Biden administration lost 20 million COVID vaccines.”,Ryan Fournier,false
951,Bill McCarthy,"Congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",Facebook posts,barely-true
952,Tom Kertscher,An “audit report” found that a voting system used in Michigan in the 2020 presidential election was designed to “create systemic fraud.”,Facebook posts,false
953,Ciara O'Rourke,“WHO now saying you do not need to wear a mask.”,Bloggers,false
954,Jon Greenberg,Masks have negative impacts on 68% of children.,Instagram posts,false
955,Samantha Putterman,Says Joe Biden’s inauguration was fake and he is not the legitimate president.,Facebook posts,pants-fire
956,Tom Kertscher,"Says Joe Biden said, “I don’t know what I’m signing,” while signing a document.",Facebook posts,false
957,Tom Kertscher,“U.S. military at the White House arresting Congress.”,Facebook posts,pants-fire
958,Miriam Valverde,"""Only in the Third World do you see this habitual use of prosecutions of former leaders.”",Marco Rubio,false
959,Brandon Mulder,"Says that Biden’s ban on new federal leases will kill 120,000 Texas jobs.",Kevin Brady,half-true
960,Jon Greenberg,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,Joe Biden,mostly-true
961,Tom Kertscher,Says Joe Biden canceled the Keystone pipeline because Warren Buffett “donated $58 million” to his campaign.,Facebook posts,false
962,Madison Czopek,"""In March 2020 the United States deployed 30,000 troops to Europe to ... free child-trafficked children and arrest deep state cabal members.""",Facebook posts,false
963,Daniel Funke,Says Joe Biden is “following through with a fracking ban.”,Facebook posts,barely-true
964,Tom Kertscher,"Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”",Facebook posts,barely-true
965,Louis Jacobson,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,Facebook posts,false
966,Eric Litke,“The U.S. Senate cannot convict a former President.”,Scott Walker,barely-true
967,Samantha Putterman,"Says Facebook recently logged users out to track their “off Facebook activity” involving bank accounts, emails and other apps.",Facebook posts,false
968,Daniel Funke,"""Joe Biden admits he is governing like a 'dictator.'""",Charlie Kirk,false
969,Warren Fiske,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",Jennifer Boysko,true
970,Eric Litke,Assembly Republicans “have come to the table” and were part of “give and take” compromise on a coronavirus bill.,Jim Steineke,false
971,Daniel Funke,Says Bill Gates said “at least 3 billion people need to die” from the planet.,Instagram posts,false
972,Miriam Valverde,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",Marco Rubio,true
973,Samantha Putterman,Says Biden's Rolex belonged to his late son Beau.,Facebook posts,false
974,Amy Sherman,"""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",Ron Klain,barely-true
975,Paul Specht,Says the number of spoiled coronavirus vaccines in North Carolina is “very small ... in the tens.”,Mandy Cohen,half-true
976,Tom Kertscher,Says Donald Trump offered his hotel “to our troops to sleep in after they were put in a car garage.”,Facebook posts,false
977,Noah Y.,Hank Aaron’s death was caused by a COVID-19 vaccine.,Facebook posts,false
978,Landon Allison,"“New York leads the nation in out-migration of residents, with 126,000 people leaving last year and over one million in the past decade.”",James Tedisco,half-true
979,Tom Kertscher,Says a video shows Joe Biden boasted in 2006 “about voting for ‘700 miles of fence’” and “talking about immigration in some entirely different ways than he does today.”,Facebook posts,half-true
980,Jill Terreri,"“We have scientific data, from all different levels, but particularly from the high school sports levels, from numerous different states that shows that it is safe to play what New York is considering high-risk sports.”",Colin Schmitt,barely-true
981,Daniel Funke,"“I believe, without having definitive proof, that the military is in charge of our country ... because Joe Biden is an illegal president.”",L. Lin Wood,pants-fire
982,Jon Greenberg,"The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",Rick Scott,barely-true
983,Haley BeMiller,"""We put $330 million in general school aids — the largest in more than a decade.""",Tony Evers,true
984,Daniel Funke,"Joe Biden was sworn in on a ""Masonic/Illuminati Bible.""",Facebook posts,pants-fire
985,Tom Kertscher,Says Maxine Waters said Trump supporters are “not welcome here” and “we must welcome everyone who crosses our borders.”,Facebook posts,barely-true
986,Monique Curet,Says President Joe Biden sparked a migrant caravan from Honduras and questioned the loyalty of U.S. troops at the inauguration.,Restoration PAC,barely-true
987,Ciara O'Rourke,Photos show Joe Biden with a “Chinese handler.”,Viral image,pants-fire
988,D.L. Davis,"A majority of Americans have voted for a party that … wants a world in which you cannot call your parents mom and dad.""",Glenn Grothman,false
989,Madison Czopek,Says the Biden administration labeled Libertarians terrorists.,"Jeremy ""Spike"" Cohen",false
990,Samantha Putterman,National Guard members turned their backs on Biden’s motorcade on Inauguration Day.,Instagram posts,false
991,Bill McCarthy,Video shows Biden saying “salute the Marines” after hearing the words in an earpiece before his inauguration.,Tweets,false
992,Bill McCarthy,"“Democrats forced our GREAT troops to sleep on the ground of a PARKING garage after dragging them to DC for photo ops!""",Facebook posts,false
993,Clara Hendrickson,"In Michigan, “we were able to really flatten” the racial disparity in COVID-19’s impact “and make significant progress.”",Garlin Gilchrist,mostly-true
994,Daniel Funke,"On Inauguration Day, Vice President Kamala Harris “put her clutch on top of the Bible so her hand is not touching it.”",Facebook posts,pants-fire
995,Noah Y.,“WHO admits their testing grossly overstates individuals testing positive for COVID.”,The Gateway Pundit,false
996,Samantha Putterman,“Go to antifa.com and it takes you to Biden’s White House! … Just a slap in the face.”,Facebook posts,half-true
997,Daniel Funke,"""By revoking the Keystone pipeline permit, Biden is destroying 11,000 jobs.”",Facebook posts,half-true
998,Ciara O'Rourke,"“Military tribunals start Jan. 20, 2021.”",Facebook posts,pants-fire
999,Bill McCarthy,"Says Joe Biden and Democrats ""have not legitimately won"" the presidency.",Rush Limbaugh,pants-fire
1000,Samantha Putterman,"Says Biden had to take a private plane to D.C. instead of a government plane “because they know he’s not a legitimate president” and ""the military is now responsible for restoring legitimate civilian government.”",Facebook posts,false
1001,Jessica Calefati,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,Pat Toomey,true
1002,Brandon Mulder,"Says that the Paris Climate Accord will cost the U.S. economy ""6.5 million jobs and $3 trillion in economic growth by 2040.""",Wayne Christian,half-true
1003,Ciara O'Rourke,Says Joe Exotic was pardoned.,Facebook posts,false
1004,Monique Curet,A photo caption says vendors named “Nah” and “Stop asking me questions before you get your a-- kicked” sold Trump-themed merchandise to “stupid” people outside the U.S. Capitol on Jan. 6.,Instagram posts,pants-fire
1005,Ciara O'Rourke,“Military brass band plays ‘Hit the Road Jack’ as Trump leaves office.”,YouTube videos,false
1006,Ciara O'Rourke,"Donald Trump’s letter to Joe Biden said, “You know I won.”",Bloggers,false
1007,Bill McCarthy,A $15-per-hour minimum wage would raise the price of a Taco Bell burrito to $38.,Jordan Rachel,false
1008,Warren Fiske,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,Kirk Cox,true
1009,Eric Litke,“Wisconsin is second to last in the Midwest in our vaccination rate and the governor says he’s ‘satisfied.’”,Rebecca Kleefisch,mostly-true
1010,Daniel Funke,"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",L. Lin Wood,false
1011,Monique Curet,"The COVID-19 vaccine is dangerous because 23 people died in Norway ""within hours” of receiving it.",Facebook posts,barely-true
1012,Julia Shanahan,Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,Donald Trump,false
1013,Daniel Funke,“Barack Obama was arrested.”,Facebook posts,pants-fire
1014,Bill McCarthy,President Donald Trump “can’t say anything (about the U.S. Capitol riot) because the platforms have removed him.”,Hogan Gidley,false
1015,Daniel Funke,A video shows Joe Biden lost and confused on stage.,Donald Trump Jr.,pants-fire
1016,Tom Kertscher,"“CNN-NPR photojournalist Jade Sacker was embedded with antifa leader"" during the U.S. Capitol attack.",Facebook posts,barely-true
1017,Samantha Putterman,"Says Gen. David H. Berger, commandant of the U.S. Marine Corps., refused Nancy Pelosi’s request to use the Marines for inauguration security, telling her “we don’t work for you.”",Bloggers,false
1018,Jessica Calefati,Says unproven voter fraud claims didn’t play “any role” in the Capitol riot.,Jake Corman,pants-fire
1019,Amy Sherman,"“Inauguration Cancelled, Trump Remains in Office.”",Facebook posts,pants-fire
1020,Miriam Valverde,Says a photo shows armed soldiers protecting Joe Biden’s inauguration.,Facebook posts,barely-true
1021,Tom Kertscher,Says Joe Biden stayed silent about violence at Black Lives Matter protests.,Instagram posts,false
1022,Brandon Mulder,Says that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”,Jon Rosenthal,mostly-true
1023,Warren Fiske,“Antifa is the culprit” in the Capitol riot.,Amanda Chase,pants-fire
1024,Eric Litke,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",Devin LeMahieu,true
1025,Tom Kertscher,“Coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.”,Facebook posts,barely-true
1026,Samantha Putterman,A photo shows Democratic lawmakers wearing clothing and masks with the Nazi swastika.,Viral image,pants-fire
1027,Nusaiba Mizan,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Sarah Godlewski,true
1028,Samantha Putterman,"Photo shows Rep. Lauren Boebert with Capitol rioters before she gave them a tour of the building ""one day before the insurrection.""",Facebook posts,false
1029,Noah Y.,Antifa provoked the shooting of Ashli Babbitt at the Capitol.,Bloggers,pants-fire
1030,Bill McCarthy,Says Rep. Pramila Jayapal was not wearing a mask in Congress during the U.S. Capitol mob.,Facebook posts,barely-true
1031,Jill Terreri,"“There were several states where outside actors dramatically changed the rules of the road, so to speak, two weeks out, one week out, on how elections would be run.”",Chris Jacobs,barely-true
1032,Chris Nichols,"The effort to recall California Gov. Gavin Newsom is ""a coup.""",Rusty Hicks,pants-fire
1033,Samantha Putterman,Says President Trump has ordered the military to take over “major corrupt cities” to stay in office and that U.S. citizens will receive emergency alerts on their devices.,Facebook posts,pants-fire
1034,Louis Jacobson,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,Jake Tapper,true
1035,Ciara O'Rourke,"Says Alexandria Ocasio-Cortez tweeted, “Let’s begin ‘The Purge’ to roundup all Conservative traitors.”",Viral image,pants-fire
1036,Amy Sherman,“Republicans have no way to communicate” after tech companies cut off Parler.,Devin Nunes,false
1037,Bill McCarthy,"Says Joe Biden is on video ""admitting to"" election fraud in a ""confession.""",Greg Kelly,false
1038,Noah Y.,"“The U.S. Department of State … released a statement on their website stating that Donald J. Trump's term ended” on Jan. 11, 2021.",Facebook posts,barely-true
1039,Samantha Putterman,Nancy Pelosi is no longer the Speaker of the House,Facebook posts,false
1040,Ciara O'Rourke,NPR posted a story about the Capitol breach before it happened.,Viral image,false
1041,Daniel Funke,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",Facebook posts,barely-true
1042,Ciara O'Rourke,Says Mike Pence changed “his Twitter banner photo to Biden and Harris.”,Viral image,false
1043,Jon Greenberg,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",Sherrod Brown,true
1044,Ciara O'Rourke,Video shows man upset because he was added to the no-fly list for storming the Capitol.,Facebook posts,false
1045,Sarah Watson,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",Kim Reynolds,true
1046,Samantha Putterman,"""Trump signs Insurrection Act - General Flynn to be appointed vice president.""",Bloggers,false
1047,Noah Y.,"Says Pope Francis “was arrested Saturday in connection with an 80-count indictment of charges including possession of child pornography, human trafficking, incest, possession of drug paraphernalia and felony fraud.”",Conservative Beaver,pants-fire
1048,Ciara O'Rourke,Says Nancy Pelosi sent a letter to Portland’s mayor after demonstrations there “urging him to stick to the proven Democratic Play book.”,Viral image,false
1049,Bill McCarthy,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,Facebook posts,barely-true
1050,Eric Litke,“The DC looting was staged” by antifa,Jonathan Wichmann,pants-fire
1051,Noah Y.,An image shows National Guard at the Capitol during the Black Lives Matter protests in D.C.,Facebook posts,barely-true
1052,Louis Jacobson,"""This election actually was not unusually close.""",Mitch McConnell,true
1053,Daniel Funke,"32,000 votes for David Perdue “disappeared” during the Georgia Senate runoff election.",Facebook posts,barely-true
1054,Amy Sherman,"“Last year, Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the Pennsylvania Constitution said.”",Josh Hawley,barely-true
1055,William Skipworth,"Says activists threatened his family and “screamed threats, vandalized, and tried to pound open our door.”",Josh Hawley,barely-true
1056,Amy Sherman,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",Joe Biden,true
1057,Ciara O'Rourke,"A CNN chyron said, “Antifa has just taken responsibility for storming Capital Hill.”",Viral image,false
1058,Ciara O'Rourke,Says Mike Pence was arrested.,Facebook posts,false
1059,Ciara O'Rourke,"“The FBI just confirmed that it was ANTIFA, not Trump supporters, who breached the Capitol.”",Viral image,pants-fire
1060,Samantha Putterman,The Simpsons predicted the Capitol riots,Facebook posts,pants-fire
1061,Ciara O'Rourke,Kamala Harris is planning to use the 25th Amendment against Joe Biden and appoint Mike Pence as her vice president.,Facebook posts,false
1062,Brandon Mulder,Says that “those who stormed the capitol yesterday were not Trump supporters. They have been confirmed to be Antifa.”,Ken Paxton,pants-fire
1063,Eric Litke,"The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent, not Capitol Police.",Jonathan Brostoff,false
1064,Ciara O'Rourke,The storming of the Capitol was staged.,Instagram posts,false
1065,Samantha Putterman,Quotes show Democrats supported riots “when BLM was BURNING down cities and killing people in the streets!”,Facebook posts,barely-true
1066,Miriam Valverde,“Evidence growing that fascist ANTIFA orchestrated Capitol attack with clever mob control tactics.”,Mo Brooks,pants-fire
1067,Ciara O'Rourke,"Video shows police removing disabled protesters from the Capitol on Jan. 6, 2021.",Viral image,false
1068,Tom Kertscher,"Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections, leaving some voters unable to cast ballots.",Facebook posts,barely-true
1069,Ciara O'Rourke,A facial recognition firm “confirmed antifa infiltrated the Trump rally in D.C.”,Facebook posts,false
1070,Bill McCarthy,A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,Facebook posts,pants-fire
1071,Ciara O'Rourke,“Georgia and Kansas Capitol buildings have been stormed by protesters.”,Facebook posts,false
1072,Daniel Funke,"""We won. We won in a landslide. This was a landslide.”",Donald Trump,pants-fire
1073,Chris Nichols,"""Antifa"" is to blame for storming the U.S. Capitol.",Shannon Grove,pants-fire
1074,Ciara O'Rourke,"Google and Apple maps won’t give directions to Washington, D.C. because “they don’t want you going to a certain big rally.”",Facebook posts,barely-true
1075,Miriam Valverde,"“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.""",Ted Cruz,barely-true
1076,Eric Litke,"“Judge Rules Over 200,000 Biden Votes Are Illegitimate In Wisconsin.”",Facebook posts,false
1077,Ciara O'Rourke,Photo shows “2 sitting senators counting ballots” in Georgia.,Viral image,false
1078,Samantha Putterman,Says shredded ballots were found in Dell boxes in Georgia,Facebook posts,pants-fire
1079,Bill McCarthy,"""They just happened to find 50,000 ballots (in the Georgia U.S. Senate runoff elections) late last night.""",Donald Trump,pants-fire
1080,Tom Kertscher,Says Georgia Secretary of State Brad Raffensperger “faces espionage charges.”,Facebook posts,false
1081,Miriam Valverde,"Says City Blue Imaging Services in Rochester, N.Y. “printed ballots there. If you search them you’ll see they’re the ones who had ballots misprint errors for the ballots sent to NYC.”",Facebook posts,false
1082,Ciara O'Rourke,"Photo shows people protesting the 2020 election in Washington D.C. on Jan. 5, 2021.",Viral image,false
1083,Samantha Putterman,"“Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.”",Viral image,half-true
1084,Chris Nichols,There are “absolutely no patients” at Los Angeles hospital considered the center of region's COVID-19 surge.,Facebook posts,pants-fire
1085,Jon Greenberg,“The Vice President has the power to reject fraudulently chosen electors.”,Donald Trump,false
1086,Ciara O'Rourke,“President-elect Biden steps down as president-elect.”,Viral image,pants-fire
1087,Ciara O'Rourke,“1776 flag flying over White House!” in January 2021. “Revolution Signal.”,Bloggers,false
1088,Haley BeMiller,On whether he’ll object to the Electoral College results,Ron Johnson,full-flop
1089,Samantha Putterman,New York “is trying to pass a bill that would allow them to round up non mask wearers and people who don’t want to take the vaccine into concentration camps. Then with a court order they can force vaccinate you.”,Facebook posts,false
1090,Ciara O'Rourke,"Says Mayor Muriel Bowser “ordered all hotels, restaurants, grocery stores, gas stations, and convenience stores to close Jan. 4, 5 and 6 to discourage Trump supporters from gathering in D.C.”",Viral image,false
1091,Eric Litke,Wisconsin Legislature “Will Likely Decertify State and Award to President Trump.”,Facebook posts,pants-fire
1092,Noah Y.,"“You had (4,925) out-of-state voters… in Georgia.”",Donald Trump,false
1093,Bill McCarthy,"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",Donald Trump,pants-fire
1094,Eric Litke,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,Mike Gallagher,true
1095,Ciara O'Rourke,Photo shows “people coming from California to Washington DC” to protest election results.,Viral image,false
1096,Tom Kertscher,"Says COVID-19 vaccines have “experimental technology never before used on humans” and that some “contain nanochips which can electronically track recipients.""",Viral image,false
1097,Miriam Valverde,“We won Georgia easily. We won it by hundreds of thousands of votes.”,Donald Trump,pants-fire
1098,Daniel Funke,"A registered nurse in Nashville, Tenn., developed Bell’s Palsy after receiving the COVID-19 vaccine.",YouTube videos,false
1099,Jessica Calefati,"“In my state, as in many other states, we have governors who are closing down businesses again.”",Pat Toomey,true
1100,Paul Specht,"North Carolina Gov. Roy Cooper ""has not left the Governor's Mansion since the start of the #COVID19 crisis.""",North Carolina Republican Party,pants-fire
1101,Daniel Funke,"The Christmas Day explosion in Nashville, Tenn., was the result of a “missile strike.”",Facebook posts,pants-fire
1102,Samantha Putterman,News outlets reported that the Nashville bomber died of COVID-19.,Facebook posts,pants-fire
1103,Samantha Putterman,The Nashville bombing was an attempt to stop an AT&T audit into Dominion software and cover up election corruption.,Facebook posts,pants-fire
1104,Daniel Funke,Cornell University professor Robert Oswald said “COVID-19 was imaginary and fictitious.”,Facebook posts,pants-fire
1105,Louis Jacobson,Says a recent study found no asymptomatic or presymptomatic spread of COVID.,Facebook posts,barely-true
1106,Jon Greenberg,Says “Dr. Fauci lied about masks in March.”,Marco Rubio,false
1107,Amy Sherman,"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.”",Facebook posts,pants-fire
1108,Miriam Valverde,"Says COVID-19 relief bill “provides more funding to foreign governments and to American arts centers, than to the American people.”",Facebook posts,barely-true
1109,Bill McCarthy,"“CDC COVID-19 survival rates” are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",Tweets,false
1110,Brandon Mulder,Says that the oil and gas industry comprises 35% of the Texas economy.,Christi Craddick,mostly-true
1111,Jill Terreri,“Dead people also voted.”,Claudia Tenney,pants-fire
1112,Miriam Valverde,“Nurse passes out on live TV after taking vaccine.”,Facebook posts,barely-true
1113,Bill McCarthy,Chief Justice John Roberts visited Jeffrey Epstein's private island.,Facebook posts,false
1114,Warren Fiske,“This is a phony pandemic.”,Bob Good,pants-fire
1115,Laura Schulte,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,Chris Larson,true
1116,Eric Litke,"""New data shows in-person learning isn't driving spikes in cases.""",Mike Gallagher,true
1117,Samantha Putterman,Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.,Facebook posts,pants-fire
1118,Jon Greenberg,“21% of people are having serious adverse events from (the Moderna) vaccine.”,Bloggers,false
1119,Brandon Mulder,"Says that guidance urging vaccinated people to avoid travel and continue wearing masks is ""profoundly anti-science.""",Ted Cruz,pants-fire
1120,Noah Y.,A 2018 executive order gives Trump the ability to impose martial law,Facebook posts,pants-fire
1121,Amy Sherman,President Donald Trump will hold his inauguration for a second term at Mar-a-Lago,Facebook posts,pants-fire
1122,Paul Specht,Say North Carolina Gov. Roy Cooper was arrested for driving while intoxicated in Stanly County.,Facebook posts,false
1123,Tom Kertscher,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",Kelly Loeffler,barely-true
1124,Ciara O'Rourke,A Georgia Bureau of Investigation agent was killed for investigating the election.,Facebook posts,false
1125,Simone Esters,“Schools that are consistently implementing COVID-19 mitigation strategies remain among the safest places for our students.”,Mike Parson,mostly-true
1126,Seth Taylor,"“Millions of Hubbell and Bloomberg dollars wasn’t enough to overcome the Iowa House Republican avalanche of success.""",Iowa Republican Party,half-true
1127,Ciara O'Rourke,“This whole COVID thing? It’s a SIMULATION.”,Facebook posts,pants-fire
1128,Jon Greenberg,"“Tens and tens of thousands of bridges are in disrepair, some on the verge of collapse.”",Joe Biden,half-true
1129,Daniel Funke,“One of the first nurses to receive the vaccine in AL is now dead.”,Facebook posts,false
1130,Miriam Valverde,An Austrian politician “exposed the defectiveness of the government’s Covid-19 tests by demonstrating how even a glass of Coca Cola will test positive for Covid-19.”,Instagram posts,false
1131,Noah Y.,"“6 states will cast their (electoral) votes for Trump AND for Biden,” which will lead to a second Trump term.",Instagram posts,false
1132,Bill McCarthy,"The American Medical Association rescinded a previous statement and now says ""hydroxychloroquine is okay"" for COVID-19.",Rush Limbaugh,false
1133,Chris Nichols,“Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.”,James Gallagher,false
1134,Ciara O'Rourke,“NASA confirms earth will go dark for 6 days in December 2020.”,Bloggers,pants-fire
1135,Tom Kertscher,"Says Kelly Loeffler supports ""raising taxes on Georgia's middle class.""",Raphael Warnock,false
1136,Paul Egan,"“68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent.”",Donald Trump,false
1137,Victoria Knight,The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”,Donald Trump,false
1138,Bill McCarthy,An optional microchip for COVID-19 vaccines “would give officials information on who has and has not been vaccinated” and “tracks the location of the patient.”,Facebook posts,false
1139,Miriam Valverde,“Pope Francis says covid vaccine will now be required to enter heaven.”,Facebook posts,pants-fire
1140,Eric Litke,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,Tim Carpenter,true
1141,Ciara O'Rourke,The CDC delivers groceries and cleaning products “twice while you’re in quarantine.”,Instagram posts,false
1142,Ciara O'Rourke,“Biden did not win legally.”,Facebook posts,pants-fire
1143,Tom Kertscher,"Says Jon Ossoff ""wants total, blanket amnesty and he wants a total lockdown.""",David Perdue,barely-true
1144,Noah Y.,The COVID-19 pandemic has caused four of the eight “deadliest days in American history.”,Facebook posts,half-true
1145,Ciara O'Rourke,“FDA announces 2 deaths of Pfizer vaccine trial participants from ‘serious adverse events.’”,Bloggers,barely-true
1146,Samantha Putterman,The number of people who have died in the U.S. in 2020 is on par with years prior to COVID-19.,Facebook posts,false
1147,Brandon Mulder,Says that this year is the first time during his 27 years as senator “that two African Americans have ever served on the same (Senate) committee.”,Royce West,false
1148,Miriam Valverde,"""If all goes 'well' it'll become federal law to get the (COVID-19) vaccine.""",Facebook posts,false
1149,Daniel Funke,“Biden confirms agenda to microchip the masses”,Instagram posts,pants-fire
1150,Tom Kertscher,"Says David Perdue “hasn't held a single public town hall meeting in six years” and “sells four meetings a year and a retreat on a private island for a $7,500 corporate PAC check.”",Jon Ossoff,mostly-true
1151,Ciara O'Rourke,Photo shows “MAYHEM in Oregon!”,Viral image,false
1152,Amy Sherman,“No candidate has ever won both Florida and Ohio and lost.”,Donald Trump,pants-fire
1153,Ciara O'Rourke,“Voting machines found in bus in Arizona.”,Facebook posts,false
